species,year,iucn_global
Rhizoprionodon porosus,2018,LC
Rhizoprionodon porosus,2019,LC
Rhizoprionodon porosus,2020,LC
Rhizoprionodon porosus,2021,LC
Rhizoprionodon porosus,2023,VU
Rhizoprionodon terraenovae,2020,LC
Rhizoprionodon terraenovae,2023,LC
Rioraja agassizii,2019,VU
Rioraja agassizii,2021,VU
Rioraja agassizii,2023,VU
Sphyrna lewini,2015,EN
Sphyrna lewini,2017,EN
Sphyrna lewini,2018,EN
Sphyrna lewini,2019,EN
Sphyrna lewini,2020,CR
Sphyrna lewini,2021,CR
Sphyrna lewini,2023,CR
Sphyrna mokarran,2009,EN
Sphyrna mokarran,2018,EN
Sphyrna mokarran,2019,EN
Sphyrna mokarran,2020,EN
Sphyrna mokarran,2021,CR
Sphyrna mokarran,2023,CR
Sphyrna tiburo,2018,LC
Sphyrna tiburo,2019,LC
Sphyrna tiburo,2020,LC
Sphyrna tiburo,2021,EN
Sphyrna tiburo,2023,EN
Sphyrna tudes,2018,VU
Sphyrna tudes,2019,VU
Sphyrna tudes,2020,VU
Sphyrna tudes,2021,CR
Sphyrna tudes,2023,CR
Sphyrna zygaena,2018,VU
Sphyrna zygaena,2019,VU
Sphyrna zygaena,2021,VU
Sphyrna zygaena,2023,VU
Squalus cubensis,2018,DD
Squalus cubensis,2021,LC
Squalus cubensis,2023,LC
Squalus mitsukurii,2018,DD
Squalus mitsukurii,2021,DD
Squalus mitsukurii,2023,EN
Squatina guggenheim,2018,EN
Squatina guggenheim,2019,EN
Squatina guggenheim,2021,EN
Squatina guggenheim,2021,EN
Squatina guggenheim,2023,EN
Squatina occulta,2018,EN
Squatina occulta,2021,CR
Squatina occulta,2023,CR
Styracura schmardae,2021,EN
Styracura schmardae,2023,EN
Zapteryx brevirostris,2012,VU
Zapteryx brevirostris,2018,VU
Zapteryx brevirostris,2023,EN
