iucn_redlist_.updated_status.,category_count,percent,lab_pos
CR,23,20.4,89
DD,2,1.8,77.2
EN,25,22.1,64.5
LC,7,6.2,51.5
NE,3,2.7,46.8
NT,21,18.6,35.5
VU,22,19.5,16.5
NA,8,7.1,3.2
