species,year,iucn_global,class
Sphyrna mokarran,2021,CR,old
Sphyrna tiburo,2021,EN,old
Sphyrna tudes,2021,CR,old
Sphyrna zygaena,2021,VU,old
Squalus cubensis,2021,LC,old
Squalus mitsukurii,2021,DD,old
Squatina guggenheim,2021,EN,old
Squatina guggenheim,2021,EN,old
Squatina occulta,2021,CR,old
Styracura schmardae,2021,EN,old
Aetobatus narinari,2022,EN,updated
Alopias superciliosus,2022,VU,updated
Atlantoraja castelnaui,2022,CR,updated
Atlantoraja cyclophora,2022,EN,updated
Bathytoshia centroura,2022,VU,updated
Benthobatis kreffti,2022,VU,updated
Carcharhinus acronotus,2022,EN,updated
Carcharhinus brachyurus,2022,VU,updated
Carcharhinus brevipinna,2022,VU,updated
Carcharhinus falciformis,2022,VU,updated
Carcharhinus leucas,2022,VU,updated
Carcharhinus limbatus,2022,VU,updated
Carcharhinus obscurus,2022,EN,updated
Carcharhinus perezi,2022,EN,updated
Carcharhinus plumbeus,2022,EN,updated
Carcharhinus porosus,2022,CR,updated
Carcharhinus signatus,2022,EN,updated
Carcharias taurus,2022,CR,updated
Carcharodon carcharias,2022,VU,updated
Centrophorus squamosus,2022,EN,updated
Dasyatis hypostigma,2022,EN,updated
Fontitrygon geijskesi,2022,CR,updated
Galeocerdo cuvier,2022,NT,updated
Galeorhinus galeus,2022,CR,updated
Ginglymostoma cirratum,2022,VU,updated
Gymnura altavela,2022,EN,updated
Gymnura micrura,2022,NT,updated
Hypanus americanus,2022,NT,updated
Hypanus berthalutzae,2022,VU,updated
Hypanus dipterurus,2022,VU,updated
Hypanus guttatus,2022,NT,updated
Isogomphodon oxyrhynchus,2022,CR,updated
Isurus oxyrinchus,2022,EN,updated
Isurus paucus,2022,EN,updated
Mobula thurstoni,2022,EN,updated
Mustelus canis,2022,NT,updated
Mustelus higmani,2022,EN,updated
Myliobatis freminvillei,2022,VU,updated
Myliobatis goodei,2022,VU,updated
Narcine brasiliensis,2022,NT,updated
Paratrygon aiereba,2022,DD,updated
Potamotrygon motoro,2022,DD,updated
Prionace glauca,2022,NT,updated
Pristis pristis,2022,CR,updated
Pseudobatos horkelii,2022,CR,updated
Pseudobatos percellens,2022,EN,updated
Rhinoptera bonasus,2022,VU,updated
Rhinoptera brasiliensis,2022,VU,updated
Rhizoprionodon lalandii,2022,VU,updated
Rhizoprionodon porosus,2022,VU,updated
Rhizoprionodon terraenovae,2022,LC,updated
Rioraja agassizii,2022,VU,updated
Sphyrna lewini,2022,CR,updated
Sphyrna mokarran,2022,CR,updated
Sphyrna tiburo,2022,EN,updated
Sphyrna tudes,2022,CR,updated
Sphyrna zygaena,2022,VU,updated
Squalus cubensis,2022,LC,updated
Squalus mitsukurii,2022,EN,updated
Squatina guggenheim,2022,EN,updated
Squatina occulta,2022,CR,updated
Styracura schmardae,2022,EN,updated
Zapteryx brevirostris,2022,EN,updated
